state,county,pm25_days,hypertension,diabetes,lack_of_health_insurance,binge_drinking,routine_checkup,smoking,no_leisure_time_physical_activity,obesity,frequent_physical_distress
alabama,baldwin,228,32.4,10.2,9.6,18.2,76.8,14.7,23.8,36.8,12.1
alabama,clay,354,38.4,13.1,11.1,15.8,76.4,21.5,32.1,39.6,16.0
alabama,dekalb,124,37.2,13.8,15.3,15.2,75.7,22.5,34.1,38.9,17.6
alabama,elmore,0,35.9,11.4,9.3,16.6,78.5,15.8,25.6,36.4,12.7
alabama,etowah,278,36.8,12.6,12.2,15.8,77.3,18.8,29.9,41.3,14.9
alabama,jefferson,293,39.2,12.9,9.6,14.8,80.5,15.0,26.5,39.7,12.7
alabama,lawrence,93,37.7,13.1,12.2,16.7,76.4,20.5,30.1,40.7,15.9
alabama,madison,227,35.1,11.0,8.2,16.2,79.3,13.8,21.7,35.7,11.8
alabama,mobile,271,38.3,13.5,14.0,15.7,75.9,19.1,28.7,42.2,15.1
alabama,montgomery,255,41.7,15.7,11.0,12.9,79.5,18.1,29.6,44.6,14.4
alabama,morgan,238,37.4,12.9,12.8,16.2,76.1,17.5,29.6,38.7,14.2
alabama,russell,99,41.8,15.8,13.1,14.7,79.4,20.3,33.0,46.9,16.0
alabama,shelby,0,33.7,9.5,8.9,16.8,78.4,11.2,20.8,32.1,10.4
alabama,sumter,250,47.4,17.6,11.5,11.9,81.4,20.7,35.8,45.2,16.6
alabama,tuscaloosa,186,39.7,12.8,9.4,15.1,78.0,17.6,28.0,41.4,13.7
alaska,aleutians east,92,31.3,12.6,15.5,16.4,64.4,17.2,29.8,30.9,12.9
alaska,anchorage,250,27.0,7.9,9.4,19.1,67.8,13.6,19.9,29.6,11.1
alaska,denali,4,27.5,7.7,9.7,21.8,63.6,15.1,20.7,30.8,11.2
alaska,fairbanks north star,233,27.9,7.6,9.6,21.0,65.7,13.9,20.3,32.1,11.0
alaska,juneau,356,27.2,7.7,8.9,21.5,65.6,14.8,20.3,32.8,10.7
alaska,kenai peninsula,102,28.9,7.9,9.7,19.5,64.5,16.3,20.3,32.0,13.0
alaska,matanuska-susitna,322,30.0,8.6,10.9,18.3,65.6,19.5,26.0,31.4,14.7
alaska,north slope,102,33.1,10.7,10.6,21.8,63.9,22.3,24.5,40.7,14.4
arizona,apache,53,33.4,17.9,14.3,16.8,67.3,27.1,31.6,39.1,21.9
arizona,cochise,0,30.5,10.8,15.0,18.5,67.9,15.3,24.0,32.9,14.4
arizona,coconino,5,26.5,10.4,10.0,19.7,67.5,13.8,18.0,27.0,13.7
arizona,gila,1,27.3,11.7,12.6,19.6,68.8,18.5,24.5,34.4,16.7
arizona,la paz,5,30.1,12.9,20.4,18.2,67.7,18.6,29.2,35.9,17.1
arizona,maricopa,94,27.3,10.4,12.0,18.4,71.3,11.8,22.0,32.7,12.2
arizona,mohave,1,28.1,10.8,16.7,19.7,67.0,17.6,27.3,36.6,15.5
arizona,navajo,70,32.5,13.3,13.6,17.7,66.5,22.4,25.9,38.5,18.6
arizona,pima,107,27.9,10.3,13.4,17.6,69.2,14.0,24.6,32.8,13.3
arizona,pinal,43,28.7,11.8,17.1,18.9,71.3,15.1,25.2,38.9,14.9
arizona,santa cruz,278,27.2,14.6,26.7,17.9,68.5,13.6,27.8,32.4,15.9
arizona,yavapai,1,25.6,9.1,10.9,19.9,67.9,15.2,21.8,27.7,13.1
arizona,yuma,58,30.1,13.9,23.1,18.7,71.4,14.4,30.6,42.3,15.8
arkansas,arkansas,118,36.5,13.7,13.2,16.1,76.4,22.8,36.1,40.9,16.9
arkansas,ashley,121,39.3,14.5,12.0,15.7,77.2,21.2,36.2,42.1,16.9
arkansas,clark,0,37.9,14.3,9.4,15.7,78.0,21.5,33.4,40.4,17.0
arkansas,crittenden,66,42.9,15.8,11.3,14.3,79.4,22.6,35.7,41.5,17.1
arkansas,garland,118,33.8,11.5,8.8,18.6,76.9,17.1,28.0,37.8,14.4
arkansas,jackson,117,40.9,14.3,13.0,16.9,76.7,24.6,36.8,40.6,17.9
arkansas,newton,28,35.4,12.2,10.3,18.8,74.8,23.4,33.2,39.5,16.8
arkansas,polk,90,34.7,12.5,11.0,17.7,75.0,21.8,32.2,37.0,16.5
arkansas,pulaski,310,38.0,12.7,7.7,18.6,80.1,16.7,26.7,38.4,13.4
arkansas,union,121,37.7,13.5,10.9,16.5,77.9,18.2,31.3,41.2,14.7
arkansas,washington,67,33.5,11.9,12.6,19.3,73.1,17.2,28.4,33.5,15.1
california,alameda,40,25.7,9.2,6.5,18.6,69.8,10.1,18.8,19.4,10.6
california,amador,0,26.7,9.0,7.1,22.0,66.8,13.3,18.9,27.3,12.4
california,butte,115,28.8,9.8,8.0,20.2,69.3,14.2,22.5,31.5,13.9
california,calaveras,86,27.9,9.4,8.1,20.6,66.8,14.8,20.1,29.4,13.6
california,colusa,331,28.5,11.7,16.7,19.8,67.6,14.7,27.2,32.2,15.7
california,contra costa,337,24.9,9.6,6.7,19.6,68.3,10.5,18.6,28.4,11.5
california,del norte,288,30.5,11.2,10.8,20.0,65.4,19.2,26.5,33.8,17.0
california,el dorado,2,25.1,7.8,6.4,22.4,69.9,10.6,15.2,24.8,10.8
california,fresno,155,31.0,13.0,14.9,16.2,69.9,14.2,26.1,39.0,15.5
california,glenn,124,29.6,11.2,15.7,19.6,66.9,15.6,26.5,34.1,15.8
california,humboldt,199,29.4,9.6,6.6,20.2,67.1,17.3,21.7,33.1,15.0
california,imperial,98,29.9,15.1,19.0,18.0,69.2,14.0,32.3,38.5,17.6
california,inyo,130,26.5,9.3,8.8,21.5,68.6,13.8,19.7,29.9,12.9
california,kern,122,30.7,13.0,19.3,17.7,69.8,16.6,30.8,35.9,16.3
california,kings,146,30.6,13.0,14.9,18.8,67.6,16.3,29.8,31.9,16.5
california,lake,6,28.4,9.7,8.8,19.7,68.8,14.1,22.3,30.7,14.1
california,los angeles,158,26.9,11.4,11.0,18.2,71.0,10.6,22.6,26.2,12.6
california,madera,112,28.7,12.7,17.0,18.9,67.8,15.2,28.6,35.2,16.5
california,marin,90,21.6,7.3,6.4,23.2,69.2,7.5,12.8,23.5,9.3
california,mariposa,30,28.2,9.8,7.5,20.7,68.8,16.9,22.1,32.3,15.0
california,mendocino,265,28.0,9.8,9.8,19.8,68.6,14.5,21.6,29.4,14.3
california,merced,110,30.6,13.6,21.5,17.4,67.2,18.0,31.1,34.5,18.1
california,mono,210,26.1,8.9,8.4,21.6,67.9,12.6,19.1,29.1,12.4
california,monterey,163,27.7,11.1,14.8,17.6,68.1,13.9,25.5,32.8,14.7
california,nevada,231,26.7,8.9,7.4,22.4,66.2,15.8,21.3,29.9,13.6
california,orange,239,25.7,9.9,8.9,18.1,71.5,10.9,20.3,25.7,12.1
california,placer,103,25.1,8.6,5.9,21.0,68.3,11.5,16.5,25.8,11.5
california,plumas,366,26.7,8.5,7.9,21.7,69.1,13.3,19.3,29.1,12.5
california,riverside,117,26.9,10.5,11.6,19.6,69.4,11.5,23.9,34.0,13.3
california,sacramento,173,28.2,10.6,7.2,17.1,68.7,13.0,22.7,33.9,13.4
california,san benito,148,25.9,10.4,12.8,19.9,67.9,11.3,22.8,29.1,12.8
california,san bernardino,123,29.9,12.4,14.8,17.9,70.0,12.6,26.9,35.1,14.2
california,san diego,151,24.5,9.4,8.2,21.7,71.4,10.2,18.3,25.4,12.0
california,san francisco,0,23.8,9.2,5.7,22.8,69.8,8.8,16.4,17.7,9.5
california,san joaquin,215,28.3,11.6,11.5,17.1,67.8,12.5,24.0,33.8,13.7
california,san luis obispo,102,26.6,8.4,7.7,21.2,69.0,11.2,17.4,28.2,12.1
california,san mateo,50,24.3,8.9,6.2,18.6,68.2,8.8,17.2,21.4,10.1
california,santa barbara,198,25.7,10.0,11.8,20.4,70.0,9.5,20.5,31.6,12.2
california,santa clara,329,23.5,10.0,5.6,16.2,67.5,8.8,19.1,22.0,9.7
california,santa cruz,249,26.6,9.0,8.6,22.0,68.2,11.5,20.6,29.4,12.4
california,shasta,76,26.7,9.3,6.3,21.0,68.3,13.7,19.2,28.7,13.1
california,siskiyou,109,28.5,9.7,7.6,20.5,68.0,15.9,21.6,32.9,14.5
california,solano,22,27.6,11.0,8.8,18.1,68.9,13.2,21.8,32.8,12.6
california,sonoma,14,24.9,8.3,7.4,20.7,69.3,10.5,17.4,28.3,11.3
california,stanislaus,136,29.8,10.9,14.1,19.4,67.8,12.8,25.5,34.7,13.9
california,sutter,146,28.9,11.6,12.6,17.8,67.3,16.4,27.0,32.0,15.3
california,tehama,85,29.7,10.0,10.5,19.5,66.7,16.7,24.9,32.5,15.0
california,trinity,357,30.1,9.9,7.8,19.7,68.6,17.1,22.9,32.4,14.7
california,tulare,144,30.9,13.2,22.7,18.6,67.3,15.4,30.9,38.0,17.0
california,tuolumne,0,27.2,8.9,7.6,22.5,69.0,13.4,19.2,31.0,12.9
california,ventura,116,27.9,10.1,9.9,20.4,67.8,10.7,21.0,28.9,12.4
california,yolo,163,27.6,10.7,8.5,17.9,70.5,12.8,24.5,28.5,14.1
colorado,adams,73,25.5,9.8,16.1,17.7,64.9,14.8,23.3,34.0,12.9
colorado,alamosa,318,28.2,10.6,18.0,18.9,66.2,16.6,23.8,31.9,15.0
colorado,arapahoe,34,25.7,7.9,10.2,20.0,68.8,12.6,17.6,25.7,11.0
colorado,archuleta,0,24.4,7.6,12.2,20.3,67.1,11.1,16.4,24.9,11.2
colorado,boulder,126,23.3,6.3,8.5,21.1,67.3,10.3,12.5,18.6,10.3
colorado,chaffee,0,26.0,7.9,11.0,21.0,66.8,14.6,18.0,25.3,12.2
colorado,clear creek,0,22.3,6.7,6.7,21.9,67.2,11.8,14.8,25.7,10.1
colorado,denver,111,25.3,7.9,10.7,24.5,66.0,14.3,21.2,23.8,12.6
colorado,douglas,37,22.7,6.2,7.2,20.4,69.0,8.1,11.8,20.9,8.8
colorado,el paso,42,25.0,8.1,10.1,16.4,69.5,13.4,18.5,28.1,11.8
colorado,fremont,0,26.9,9.1,14.6,21.2,66.4,15.8,19.9,29.2,13.0
colorado,garfield,4,25.3,7.7,13.4,21.6,66.3,12.8,18.7,26.7,11.6
colorado,gilpin,0,23.0,7.2,7.3,22.1,66.9,12.0,14.9,25.2,10.7
colorado,grand,0,23.5,6.9,9.3,23.0,66.4,11.7,15.1,24.9,10.4
colorado,gunnison,0,24.4,6.5,8.1,22.2,67.3,9.3,13.2,23.7,9.5
colorado,jackson,13,26.5,9.2,12.1,19.9,66.6,16.5,21.3,28.4,14.6
colorado,jefferson,0,23.6,7.2,8.4,22.5,68.7,10.6,13.8,24.9,10.9
colorado,la plata,14,23.4,6.7,10.0,22.3,67.9,11.5,14.2,24.8,10.4
colorado,larimer,66,23.0,6.5,9.6,22.7,67.5,9.1,12.7,21.1,9.8
colorado,mesa,59,26.0,7.9,10.6,19.9,66.5,15.8,18.6,30.3,12.7
colorado,montezuma,0,26.8,8.9,10.3,20.2,66.8,16.6,21.1,30.2,13.9
colorado,park,0,24.7,7.0,8.7,21.7,66.3,13.8,15.8,25.3,11.0
colorado,pitkin,205,20.9,6.0,7.6,22.9,67.7,9.1,12.6,21.1,8.9
colorado,prowers,283,27.1,10.4,16.2,18.9,66.2,17.6,24.7,31.6,15.8
colorado,pueblo,47,27.6,10.0,15.6,19.4,69.4,14.6,22.8,31.4,13.3
colorado,rio blanco,14,26.2,8.0,10.2,20.1,66.1,16.9,19.7,27.9,13.0
colorado,routt,0,22.5,6.6,6.0,22.1,66.0,11.6,14.2,24.4,10.0
colorado,san juan,101,25.1,8.1,12.5,20.8,66.5,14.4,17.7,27.4,12.1
colorado,san miguel,0,24.5,7.0,8.2,21.2,67.2,11.5,15.3,24.7,10.6
colorado,weld,110,25.1,8.5,14.5,19.2,65.1,12.5,19.3,31.2,11.8
delaware,kent,141,32.8,11.1,10.0,16.2,76.8,15.2,25.1,39.3,11.7
delaware,new castle,147,31.5,11.6,10.2,16.9,75.6,14.2,22.4,37.6,11.0
delaware,sussex,106,31.1,9.9,12.3,18.1,77.5,15.5,22.7,38.6,11.4
district of columbia,district of columbia,157,29.8,8.7,6.2,23.3,73.3,11.4,15.2,25.1,8.9
georgia,bibb,319,39.7,14.2,16.1,13.3,79.0,18.1,32.1,48.5,15.4
georgia,charlton,99,41.9,13.7,20.5,15.6,74.3,21.4,31.8,42.2,15.8
georgia,chatham,289,35.5,11.6,13.2,15.6,78.5,13.6,22.7,36.1,11.8
georgia,chattooga,0,38.3,12.1,23.9,15.8,73.1,21.0,32.2,39.0,16.4
georgia,clarke,258,37.9,13.1,15.5,15.0,76.5,15.0,26.6,37.0,14.4
georgia,clayton,222,41.2,14.9,20.4,12.1,77.4,17.9,34.3,45.4,14.9
georgia,cobb,288,32.2,9.2,12.6,17.7,75.2,9.7,16.7,28.9,9.6
georgia,coffee,356,41.7,13.7,22.6,15.5,75.1,20.6,33.5,41.4,16.3
georgia,columbia,0,33.1,10.9,12.7,16.4,76.3,15.0,23.7,36.0,12.4
georgia,dawson,0,32.4,9.0,13.2,18.9,73.5,12.2,20.8,34.7,11.0
georgia,dekalb,267,36.2,12.0,12.5,15.4,75.6,13.0,21.3,33.5,11.9
georgia,dougherty,366,45.8,15.7,18.4,12.0,80.4,18.8,31.5,44.4,15.9
georgia,douglas,0,37.2,12.8,15.3,13.5,77.1,14.8,26.7,42.8,12.7
georgia,floyd,361,37.0,12.2,18.9,15.6,74.7,18.6,29.9,40.1,15.4
georgia,fulton,264,33.8,10.1,12.1,17.0,74.3,10.7,20.0,30.0,10.2
georgia,glynn,241,37.6,11.1,12.8,16.6,75.8,13.9,24.4,35.9,12.4
georgia,gwinnett,308,32.1,12.0,18.0,15.3,74.9,11.8,23.1,33.3,11.9
georgia,hall,366,32.7,11.6,19.4,17.1,72.2,17.1,28.3,35.0,14.6
georgia,henry,236,38.3,11.9,12.9,14.0,77.3,13.0,23.8,39.3,11.3
georgia,houston,362,35.9,10.9,12.4,15.4,76.9,14.2,26.5,39.3,12.1
georgia,lowndes,342,39.5,12.9,17.9,14.8,76.7,18.1,28.9,39.5,14.6
georgia,murray,30,34.4,11.4,19.3,17.3,73.1,18.4,30.6,38.0,15.2
georgia,muscogee,302,39.5,14.6,13.8,14.3,78.6,17.0,30.7,41.7,14.6
georgia,pike,0,34.0,9.6,12.9,17.7,73.9,14.4,23.7,34.2,12.3
georgia,richmond,299,42.3,14.7,18.4,14.2,78.4,18.5,30.2,44.4,14.8
georgia,rockdale,0,40.6,13.4,14.3,13.6,78.9,15.4,28.6,44.9,13.2
georgia,sumter,0,41.3,14.7,16.9,14.3,77.5,19.0,31.9,44.0,15.6
georgia,walker,363,34.9,11.1,13.7,16.3,71.7,20.3,31.8,41.8,15.0
georgia,washington,361,43.6,14.2,16.6,14.1,76.4,19.8,31.9,43.0,15.4
hawaii,hawaii,366,25.5,9.2,6.1,21.7,70.2,13.8,19.3,26.0,11.5
hawaii,honolulu,160,26.0,11.4,4.5,20.5,73.9,11.9,22.2,26.2,10.1
hawaii,maui,364,22.4,10.0,5.6,20.0,68.1,13.4,20.4,24.1,11.5
idaho,ada,114,25.9,7.7,7.2,17.8,75.1,11.5,17.6,28.7,11.0
idaho,bannock,185,31.0,9.6,9.8,15.9,72.3,13.9,22.4,36.8,13.6
idaho,benewah,365,30.7,9.7,9.9,17.5,70.0,17.2,24.7,34.0,14.9
idaho,blaine,359,24.8,7.9,7.9,18.1,71.2,9.6,18.1,25.5,10.5
idaho,boise,366,28.5,8.5,10.2,18.3,70.2,13.6,21.9,31.2,11.9
idaho,bonner,338,29.2,8.4,9.6,19.1,69.2,14.5,21.3,26.7,13.3
idaho,bonneville,364,31.0,9.3,8.1,13.5,72.1,12.8,22.6,35.2,12.9
idaho,butte,10,32.2,10.6,11.5,16.1,71.7,16.8,26.3,35.7,15.5
idaho,canyon,346,31.7,10.1,11.8,17.0,71.0,15.2,25.9,37.7,14.3
idaho,custer,90,30.7,8.7,9.8,17.6,69.8,13.5,21.5,32.8,12.4
idaho,franklin,358,29.4,9.2,10.0,16.6,68.2,17.5,24.3,33.1,13.8
idaho,idaho,239,29.0,9.5,8.5,18.5,68.9,17.7,27.6,32.6,14.7
idaho,kootenai,355,26.8,8.1,7.3,18.8,70.4,13.3,20.2,34.3,12.4
idaho,latah,366,27.8,8.7,7.8,18.4,73.1,11.2,16.9,29.1,11.6
idaho,lemhi,366,27.7,8.8,8.3,17.4,70.9,15.2,22.6,32.9,13.6
idaho,nez perce,366,30.8,9.4,11.0,18.4,74.8,13.7,22.0,35.5,12.6
idaho,shoshone,362,31.3,11.2,11.8,16.6,70.5,20.2,30.1,34.8,17.4
idaho,twin falls,347,29.7,9.2,11.9,15.8,72.7,13.4,24.1,36.5,13.3
idaho,valley,357,28.8,9.5,9.4,17.1,71.7,14.6,23.0,33.5,13.8
illinois,adams,0,30.3,9.7,10.3,20.9,73.9,17.8,22.5,39.5,12.7
illinois,champaign,172,31.1,10.5,8.5,17.7,74.4,16.0,23.9,35.5,12.4
illinois,clark,0,29.8,9.1,9.7,21.4,74.0,14.8,20.6,35.0,11.7
illinois,cook,208,28.6,10.8,14.7,20.8,74.3,12.0,20.9,32.8,11.4
illinois,dupage,232,24.5,9.3,8.9,20.5,77.1,9.7,17.9,29.4,9.7
illinois,effingham,0,31.4,8.9,9.6,21.7,74.1,14.2,19.9,35.5,11.2
illinois,hamilton,251,31.2,10.3,9.7,20.7,73.5,18.2,23.9,37.8,13.9
illinois,jersey,166,28.8,9.4,8.3,21.9,72.6,17.6,22.5,37.8,12.6
illinois,jo daviess,0,29.9,9.0,9.0,21.9,74.1,14.2,19.7,34.2,11.2
illinois,kane,125,29.4,10.0,14.3,19.1,73.6,12.1,21.0,37.3,11.0
illinois,lake,0,26.9,10.6,10.4,19.0,74.4,13.1,21.3,31.9,11.5
illinois,macon,233,32.1,10.5,9.6,19.4,74.5,18.3,25.6,37.1,13.1
illinois,macoupin,0,30.1,10.1,10.7,21.2,73.8,18.3,24.0,38.1,13.5
illinois,madison,225,30.9,9.3,9.4,20.8,74.4,14.7,20.7,35.8,11.5
illinois,mchenry,217,28.0,9.1,8.8,20.8,73.9,13.4,20.1,34.2,11.2
illinois,mclean,185,30.4,10.0,8.2,20.5,74.8,14.3,21.7,35.4,11.8
illinois,peoria,181,31.0,10.5,8.9,18.9,75.9,16.5,24.6,35.6,12.7
illinois,randolph,200,32.1,10.5,10.6,20.7,73.9,18.4,24.5,37.7,13.4
illinois,rock island,191,31.2,10.6,12.3,20.3,76.2,14.1,22.5,37.4,12.1
illinois,sangamon,221,29.9,9.7,8.9,19.7,75.2,16.2,22.7,38.3,12.2
illinois,will,233,29.8,9.9,12.3,20.3,74.7,12.5,20.7,36.6,10.7
illinois,winnebago,204,32.4,11.5,13.3,18.9,72.9,18.6,27.6,38.5,14.8
indiana,allen,171,32.6,11.6,8.9,17.1,76.1,18.8,26.9,38.3,13.0
indiana,bartholomew,151,30.7,10.3,10.4,16.4,76.7,15.8,24.9,34.0,12.2
indiana,boone,0,27.2,9.2,7.1,17.8,75.7,16.4,22.9,35.5,10.8
indiana,brown,0,30.7,9.8,8.9,18.4,75.4,17.4,25.1,36.9,12.1
indiana,carroll,0,31.2,10.3,8.8,17.9,75.9,19.6,27.0,38.8,12.8
indiana,clark,227,31.5,10.5,8.6,17.6,75.1,19.1,27.9,41.2,12.9
indiana,delaware,186,34.9,11.9,7.9,17.0,77.3,22.5,28.8,39.8,15.1
indiana,dubois,365,31.0,10.3,10.5,17.4,76.0,19.3,26.8,38.4,12.5
indiana,elkhart,203,31.8,11.8,12.8,17.2,74.6,19.6,30.7,42.5,14.0
indiana,floyd,150,32.0,10.6,8.6,17.9,76.6,17.7,25.6,36.4,13.1
indiana,greene,170,33.1,11.3,10.0,17.6,75.3,22.9,30.4,40.5,14.5
indiana,hamilton,195,27.4,8.2,5.3,18.0,78.2,10.0,16.9,27.9,8.4
indiana,hendricks,0,30.1,10.3,8.3,16.9,76.6,15.1,23.9,38.9,10.9
indiana,henry,361,33.2,11.8,9.3,18.1,75.2,22.6,30.3,44.4,14.3
indiana,howard,170,33.1,10.9,10.3,16.4,76.2,20.3,28.4,41.9,13.6
indiana,knox,0,32.6,10.8,8.9,17.6,76.8,18.4,26.1,38.2,13.1
indiana,laporte,116,32.4,11.7,10.8,17.2,77.0,19.9,28.9,39.7,13.7
indiana,lake,241,33.3,11.7,11.1,16.5,79.5,16.9,28.9,38.1,12.7
indiana,madison,160,34.9,11.4,9.9,15.8,75.0,22.7,29.3,39.6,13.9
indiana,marion,272,34.0,13.0,10.3,17.8,77.2,17.6,28.7,39.3,13.8
indiana,monroe,359,31.1,10.1,7.4,17.4,75.3,15.6,23.6,37.6,12.0
indiana,perry,0,32.3,10.6,8.8,18.0,75.1,19.3,27.0,40.6,12.8
indiana,porter,157,30.8,9.7,8.7,17.7,75.6,16.6,25.4,37.0,12.0
