state,county,pm25_days,hypertension,diabetes,lack_of_health_insurance,binge_drinking,routine_checkup,smoking,no_leisure_time_physical_activity,obesity,frequent_physical_distress
nevada,carson city,73,29.5,9.9,15.4,20.3,69.5,17.2,24.4,32.6,14.0
nevada,churchill,0,29.7,9.6,13.2,19.6,68.8,18.4,24.2,33.6,14.0
nevada,clark,102,31.4,10.3,16.0,18.3,67.7,15.7,27.0,32.8,14.0
nevada,douglas,342,26.6,7.6,11.1,22.3,71.4,12.3,18.8,30.5,11.1
nevada,elko,22,29.5,9.6,12.8,21.6,69.0,17.4,24.5,35.5,13.1
nevada,lyon,0,29.9,9.8,13.9,20.1,69.7,17.7,24.5,35.9,14.0
nevada,nye,0,30.3,10.7,14.4,20.1,69.3,20.6,27.7,32.0,15.4
nevada,washoe,83,28.7,9.6,14.5,21.4,68.7,15.4,21.0,29.8,13.4
nevada,white pine,3,30.7,10.1,11.9,21.0,68.2,19.5,27.3,33.4,14.3
new hampshire,belknap,197,25.3,8.1,9.0,19.1,70.2,15.1,20.9,30.3,11.7
new hampshire,cheshire,143,27.2,8.1,7.0,18.2,66.6,15.0,19.7,31.2,11.6
new hampshire,coos,3,28.6,9.1,8.1,19.5,72.4,17.5,22.0,35.9,12.8
new hampshire,grafton,87,25.8,7.6,7.9,18.1,71.3,12.8,17.0,28.8,10.4
new hampshire,hillsborough,42,26.0,7.7,8.5,18.4,73.6,10.3,17.6,29.8,9.7
new hampshire,merrimack,0,26.2,7.9,6.3,19.3,72.8,12.1,19.0,30.7,10.7
new hampshire,rockingham,86,24.4,7.5,7.3,21.6,72.7,12.7,17.7,31.7,10.3
new jersey,atlantic,153,31.3,10.0,12.8,17.4,76.1,13.4,25.4,33.2,11.9
new jersey,bergen,114,23.9,8.4,10.5,16.7,75.8,9.4,20.9,25.8,9.5
new jersey,camden,159,32.0,10.1,11.5,17.9,75.7,13.3,24.7,32.8,11.6
new jersey,cumberland,88,32.9,11.3,18.1,16.8,74.3,16.9,28.0,36.8,14.1
new jersey,gloucester,145,27.9,8.7,7.4,17.7,75.0,12.4,20.7,36.3,11.1
new jersey,hudson,142,27.0,10.1,15.1,18.0,73.4,10.7,25.4,30.7,11.0
new jersey,hunterdon,165,24.9,7.5,6.8,21.4,73.6,9.9,18.6,26.5,9.6
new jersey,mercer,156,28.8,8.9,9.5,16.3,77.1,10.4,22.4,30.7,10.3
new jersey,middlesex,97,27.5,9.9,10.6,14.0,76.1,9.7,21.4,26.9,9.8
new jersey,monmouth,0,26.4,7.9,7.1,22.4,71.3,12.1,18.3,29.3,9.7
new jersey,morris,63,25.7,7.3,6.6,18.9,74.3,8.9,16.7,25.9,9.1
new jersey,ocean,153,28.0,8.5,9.0,17.9,74.1,14.5,23.5,33.2,11.9
new jersey,passaic,190,28.8,10.7,18.2,16.8,73.9,14.9,30.9,31.7,13.4
new jersey,union,275,26.4,9.3,14.4,16.3,76.7,11.5,24.2,28.0,10.6
new jersey,warren,107,28.2,7.7,9.2,19.2,74.7,11.5,20.5,29.1,10.2
new mexico,bernalillo,82,29.0,9.3,14.6,17.7,65.3,13.9,19.8,28.1,12.6
new mexico,catron,67,33.4,11.2,9.5,16.3,65.0,21.9,25.7,33.0,16.2
new mexico,chaves,94,33.1,12.0,18.2,15.4,65.5,17.6,29.0,42.0,15.5
new mexico,eddy,7,30.3,11.6,13.1,17.8,64.0,17.3,28.8,39.1,14.7
new mexico,lea,68,31.7,12.7,17.8,15.9,64.2,18.1,30.1,35.5,15.9
new mexico,lincoln,98,29.0,9.8,12.7,17.1,65.8,16.3,22.4,30.5,13.6
new mexico,los alamos,96,25.2,6.4,3.8,18.5,67.0,7.8,11.9,22.4,7.7
new mexico,luna,0,34.4,14.8,21.1,15.3,64.3,20.8,34.5,38.7,18.6
new mexico,rio arriba,2,29.6,13.2,18.2,15.9,65.5,17.8,27.7,38.8,16.4
new mexico,san juan,0,30.4,12.1,11.0,14.8,64.2,24.9,27.3,38.1,18.0
new mexico,sandoval,0,26.8,10.0,9.8,18.1,65.0,16.3,22.7,31.1,13.6
new mexico,santa fe,8,22.8,8.9,11.6,14.6,66.8,11.4,17.8,23.1,11.5
new mexico,socorro,100,32.4,13.4,17.1,16.2,66.2,22.0,30.5,35.0,17.8
new mexico,taos,365,27.3,10.5,11.7,18.2,64.5,14.9,23.3,29.0,13.4
new mexico,valencia,0,30.8,11.5,10.6,17.4,64.9,15.8,25.1,35.5,13.8
new york,albany,167,29.3,8.4,6.0,21.7,78.6,12.7,21.6,33.5,9.7
new york,bronx,174,32.7,15.0,17.0,15.9,79.2,16.3,36.0,37.2,16.7
new york,chautauqua,14,30.4,9.5,8.2,19.9,77.5,17.9,27.5,34.7,13.5
new york,dutchess,0,29.1,8.4,7.7,19.3,78.9,11.8,19.9,34.3,10.3
new york,erie,200,29.3,8.9,6.0,21.3,79.1,15.6,25.5,32.7,12.0
new york,essex,32,28.1,8.4,5.6,20.8,75.9,17.7,23.3,36.0,12.1
new york,hamilton,0,26.9,9.1,5.2,21.5,76.5,18.2,25.8,37.3,13.0
new york,jefferson,0,31.5,9.9,7.6,19.2,78.6,17.9,28.9,37.4,13.0
new york,kings,366,28.1,10.9,9.5,16.7,77.5,11.7,25.5,26.9,11.8
new york,monroe,201,30.0,8.8,7.1,19.4,75.6,11.7,19.3,36.1,9.5
new york,new york,196,24.4,8.6,7.3,23.2,77.1,10.7,20.2,21.2,11.4
new york,niagara,0,30.7,8.9,6.6,21.6,78.4,14.6,23.3,34.6,12.0
new york,oneida,349,29.5,9.0,7.1,21.8,78.0,15.4,26.3,38.2,11.9
new york,onondaga,109,31.0,9.2,5.3,21.2,79.2,15.5,23.0,35.1,12.4
new york,orange,348,30.2,9.4,8.3,20.8,78.8,11.8,23.0,37.3,10.6
new york,oswego,0,28.6,9.2,6.1,21.0,76.8,17.2,25.7,38.5,12.6
new york,putnam,0,25.8,8.2,7.3,20.4,76.8,11.0,20.5,30.1,10.1
new york,queens,210,28.8,10.7,10.4,15.3,79.5,10.6,27.0,24.7,10.9
new york,richmond,162,28.7,9.7,6.2,18.2,78.1,10.6,25.4,29.4,9.8
new york,rockland,96,28.1,10.2,7.8,17.1,76.7,13.9,25.0,32.0,11.9
new york,saratoga,0,25.1,7.1,7.3,22.2,76.5,10.5,16.9,32.1,9.0
new york,steuben,93,30.1,8.8,5.9,21.0,76.2,16.5,24.1,36.6,12.3
new york,suffolk,17,27.8,8.4,7.4,19.6,76.1,10.8,22.3,29.8,10.1
new york,tompkins,0,25.8,8.4,6.0,21.3,77.8,13.3,20.7,33.0,11.0
new york,wayne,0,29.4,8.4,7.5,22.6,76.6,14.8,23.2,37.2,11.3
new york,westchester,103,25.1,8.2,8.2,17.9,76.8,9.3,19.6,26.6,9.7
north carolina,alexander,0,31.5,9.7,11.5,19.3,74.2,16.2,22.7,33.8,12.9
north carolina,avery,38,31.6,10.1,13.1,19.9,74.4,17.0,22.6,33.1,13.2
north carolina,buncombe,256,28.3,8.0,8.2,19.2,76.7,11.1,18.4,26.2,10.5
north carolina,caldwell,0,33.0,10.5,15.0,18.2,74.2,18.4,24.5,35.0,14.0
north carolina,carteret,0,28.4,9.2,11.9,19.3,75.5,13.5,20.0,31.6,11.8
north carolina,caswell,0,35.8,12.2,14.6,17.8,75.6,18.3,25.8,35.5,14.0
north carolina,catawba,350,30.7,10.1,9.8,18.6,74.8,17.0,23.3,34.1,12.9
north carolina,cumberland,218,37.5,12.2,13.5,16.8,78.6,15.7,24.5,39.6,13.0
north carolina,davidson,359,31.9,10.3,13.0,18.7,75.1,17.4,23.1,34.5,13.2
north carolina,durham,299,33.6,10.2,10.0,18.6,78.0,10.6,19.1,32.5,10.1
north carolina,edgecombe,196,39.1,14.3,14.1,14.9,78.8,18.9,28.6,40.5,14.9
north carolina,forsyth,207,32.5,10.6,12.1,17.1,77.0,14.5,22.0,31.8,11.9
north carolina,graham,0,31.1,10.4,12.2,19.6,73.9,18.7,23.7,34.0,14.3
north carolina,granville,0,35.6,11.8,12.8,17.6,75.9,16.7,23.9,37.5,13.1
north carolina,guilford,210,31.8,11.0,12.5,16.4,76.6,14.9,23.8,33.5,12.2
north carolina,haywood,21,30.9,9.2,12.3,19.0,75.2,14.3,20.7,31.5,11.9
north carolina,hyde,80,36.5,13.5,16.5,17.0,74.9,22.1,30.5,39.2,16.3
north carolina,johnston,228,33.0,11.0,12.2,17.8,76.5,15.9,24.1,36.2,12.9
north carolina,lenoir,0,38.7,13.6,16.4,15.3,77.3,19.2,28.5,40.4,15.2
north carolina,lincoln,0,30.3,9.7,12.0,19.6,74.3,16.4,23.1,33.2,12.9
north carolina,macon,0,31.0,10.0,11.5,18.5,74.2,15.7,22.8,31.3,12.9
north carolina,martin,0,36.7,13.3,15.2,16.1,77.2,19.7,28.4,38.5,15.3
north carolina,mecklenburg,237,30.3,10.6,12.1,19.2,76.0,12.9,18.9,34.1,10.9
north carolina,mitchell,341,30.2,9.5,10.4,19.8,74.0,16.4,22.6,34.1,12.9
north carolina,montgomery,203,34.7,11.4,17.8,17.3,75.6,17.1,25.5,37.5,13.7
north carolina,new hanover,232,30.0,9.1,8.4,20.6,76.0,12.5,18.2,32.4,10.6
north carolina,northampton,351,38.9,13.9,14.2,15.4,78.6,18.2,27.3,40.3,14.5
north carolina,person,0,34.3,11.9,11.0,18.2,75.3,20.1,27.3,40.5,14.7
north carolina,pitt,176,35.5,11.6,11.3,16.8,78.3,13.6,23.7,37.3,12.5
north carolina,rockingham,0,32.7,11.8,16.4,17.4,75.7,18.4,25.7,37.8,14.6
north carolina,rowan,173,33.5,11.3,13.6,17.9,75.9,16.8,24.9,33.9,13.6
north carolina,swain,219,33.8,12.0,12.6,18.3,74.5,21.3,27.0,36.8,16.1
north carolina,union,0,29.8,9.5,10.3,20.1,74.4,11.5,19.4,31.1,10.7
north carolina,wake,223,28.8,8.9,9.8,18.7,76.8,9.7,15.8,25.6,9.4
north carolina,yancey,0,31.0,9.8,11.9,19.5,74.8,15.0,22.2,32.3,12.8
north dakota,billings,89,28.5,8.4,7.4,23.1,71.8,14.1,23.1,35.9,10.1
north dakota,burke,120,27.9,7.9,6.5,24.8,71.9,14.0,22.8,35.1,9.8
north dakota,burleigh,159,28.7,8.3,6.1,24.0,72.8,13.9,20.0,39.2,9.8
north dakota,cass,189,28.8,8.4,5.6,21.4,73.0,15.3,21.7,34.1,10.2
north dakota,dunn,108,29.6,9.0,7.6,23.7,71.6,17.0,23.9,37.8,11.2
north dakota,mckenzie,97,28.3,9.9,8.7,23.3,71.8,18.3,27.8,35.5,12.3
north dakota,mercer,133,30.4,9.2,8.0,23.7,72.1,16.8,23.2,36.3,11.3
north dakota,oliver,126,29.0,8.9,5.5,24.0,71.8,17.2,24.3,40.0,11.0
north dakota,ward,150,30.7,8.9,8.1,23.7,73.1,16.6,26.8,37.4,10.7
ohio,allen,164,35.0,12.9,7.4,19.0,74.1,22.5,30.6,47.1,14.9
ohio,ashtabula,0,35.1,12.3,9.4,19.4,75.5,21.9,27.4,43.1,15.2
ohio,athens,364,34.8,11.7,7.6,19.1,77.2,17.7,23.6,38.3,14.0
ohio,belmont,250,32.6,12.2,8.8,20.0,76.0,23.2,31.2,43.0,15.1
ohio,butler,261,32.4,11.6,10.3,19.2,75.3,19.1,24.9,36.5,13.4
ohio,clark,219,34.7,12.3,8.0,18.5,76.4,21.8,29.0,41.8,15.1
ohio,clermont,126,31.8,10.7,8.6,22.0,76.2,19.2,25.6,40.1,12.8
ohio,clinton,0,32.9,12.0,7.7,19.0,76.9,22.6,29.3,41.6,14.9
ohio,columbiana,0,33.3,12.2,10.3,19.4,76.8,23.3,28.5,47.0,14.3
ohio,cuyahoga,242,32.5,11.1,7.3,19.8,78.0,17.7,22.7,37.8,12.6
ohio,delaware,0,28.8,8.9,4.5,19.7,76.5,12.3,17.7,32.2,9.9
ohio,franklin,245,31.2,11.8,8.3,18.7,76.8,14.6,23.3,36.1,12.6
ohio,geauga,0,29.0,9.9,6.4,21.9,74.3,17.8,20.7,36.3,11.9
ohio,greene,0,30.2,10.7,6.1,19.7,78.7,15.2,22.0,39.2,12.0
ohio,hamilton,234,34.0,12.9,7.8,22.2,77.7,18.4,26.5,38.6,13.9
ohio,jefferson,214,33.2,11.1,8.6,18.8,78.7,20.9,26.1,40.1,14.2
ohio,knox,0,30.8,10.2,8.4,18.4,75.5,18.5,26.2,35.8,12.6
ohio,lake,151,30.6,10.8,6.4,19.6,76.3,16.9,24.7,40.9,12.7
ohio,lawrence,205,36.6,13.0,8.2,17.5,75.9,24.4,33.5,44.9,16.7
ohio,licking,0,30.8,10.8,7.9,19.9,76.7,19.9,24.7,36.0,13.3
ohio,lorain,0,33.1,11.6,8.3,20.2,77.2,19.4,28.1,39.6,13.8
ohio,lucas,233,33.5,12.8,7.7,18.8,79.5,19.8,27.2,42.4,14.9
ohio,madison,0,33.5,11.6,8.7,19.8,75.3,22.3,26.9,41.7,14.3
ohio,mahoning,209,31.2,12.5,9.3,18.5,77.0,21.6,27.9,39.7,14.5
ohio,medina,195,28.4,10.4,6.8,22.5,76.5,16.1,22.3,36.0,11.7
ohio,miami,0,32.3,10.5,8.0,20.3,77.7,16.4,21.2,39.8,12.2
ohio,montgomery,201,34.0,12.4,8.4,18.4,78.0,19.9,29.4,41.5,14.9
ohio,noble,19,34.2,12.7,8.2,19.9,75.2,25.4,30.5,44.8,15.5
ohio,portage,0,31.8,10.6,6.8,17.7,75.7,17.5,23.2,38.5,12.5
ohio,preble,189,32.4,11.4,6.9,20.7,76.0,21.6,26.4,38.5,14.4
ohio,scioto,341,39.0,12.9,10.1,17.7,76.3,23.6,30.6,43.7,16.5
ohio,stark,250,33.8,10.8,8.3,19.1,75.5,17.0,22.7,38.3,12.3
ohio,summit,176,30.7,11.2,7.2,18.7,76.2,17.5,23.5,39.5,12.9
ohio,trumbull,223,34.6,12.8,9.3,19.7,76.2,24.2,30.3,44.6,15.8
ohio,warren,155,28.8,9.9,5.0,20.0,78.4,13.4,20.8,34.1,10.8
ohio,washington,0,33.6,12.0,6.5,18.1,76.1,21.2,27.7,44.7,14.5
ohio,wood,0,31.4,10.6,6.2,20.9,77.2,15.7,23.5,35.7,12.4
oklahoma,adair,237,40.1,15.6,14.1,14.1,72.9,25.8,37.1,43.6,19.2
oklahoma,canadian,0,31.8,10.9,9.6,15.7,73.8,13.2,24.8,42.4,12.0
oklahoma,carter,173,37.7,12.1,13.3,14.9,72.6,19.3,32.3,40.7,14.9
oklahoma,cleveland,175,33.5,11.4,11.2,16.6,74.2,14.3,26.4,36.9,12.8
oklahoma,comanche,168,40.2,12.7,12.1,13.6,76.8,18.4,31.3,43.8,14.7
oklahoma,creek,0,35.8,11.8,11.8,14.9,72.3,18.4,28.0,39.4,14.5
oklahoma,dewey,163,35.7,11.8,12.9,15.9,72.6,19.3,31.7,40.8,14.7
oklahoma,grant,98,35.7,12.2,12.5,15.8,71.8,21.5,35.7,44.8,16.3
oklahoma,jefferson,0,37.8,13.3,14.2,15.0,72.6,20.7,34.8,45.2,16.7
oklahoma,johnston,0,37.8,13.6,12.7,14.0,72.7,24.2,35.1,43.7,17.6
oklahoma,kay,356,37.2,11.9,13.2,15.1,75.1,17.8,30.1,44.0,14.5
oklahoma,mayes,0,37.6,13.1,13.3,15.0,72.9,21.9,33.8,43.1,16.6
oklahoma,mcclain,0,32.7,11.0,11.1,16.3,72.7,15.7,30.3,37.9,13.6
oklahoma,oklahoma,186,35.1,11.9,11.9,16.7,73.4,16.1,27.2,39.4,13.0
oklahoma,osage,0,37.0,12.3,11.3,16.5,72.9,18.9,30.8,40.3,14.8
oklahoma,ottawa,274,39.9,13.9,13.7,14.5,73.3,22.4,34.1,44.0,17.4
oklahoma,pittsburg,236,37.1,12.4,12.1,15.7,73.1,21.0,33.2,41.4,15.8
oklahoma,pontotoc,105,35.5,12.5,10.5,14.9,73.9,19.9,31.4,43.3,15.4
oklahoma,sequoyah,250,39.3,14.1,12.2,14.8,72.9,23.2,36.3,41.2,18.2
oklahoma,tulsa,176,33.3,11.6,13.2,13.9,72.2,16.5,28.2,37.0,13.7
oklahoma,washington,125,35.6,12.3,10.2,14.5,73.0,20.4,32.6,41.6,15.8
oregon,baker,366,29.5,9.5,6.4,21.0,68.8,16.3,20.9,34.3,13.7
oregon,clackamas,224,25.8,7.8,6.7,20.3,71.1,10.5,15.9,29.0,10.0
oregon,columbia,245,27.4,9.0,8.3,20.5,68.6,17.2,20.2,36.9,13.2
oregon,crook,366,27.9,9.3,7.4,21.9,67.6,16.9,20.7,33.0,13.1
oregon,deschutes,283,25.0,8.2,7.4,20.8,71.8,11.0,13.8,27.0,10.9
oregon,grant,366,29.6,9.3,8.2,20.5,68.5,16.4,20.7,30.9,13.8
oregon,harney,365,30.3,10.1,8.3,18.8,69.0,18.7,22.8,34.8,14.6
oregon,jackson,255,28.2,9.7,9.4,18.5,69.7,18.2,21.1,35.9,14.0
oregon,jefferson,366,28.7,10.3,9.3,20.5,68.3,17.1,21.2,34.9,13.6
oregon,josephine,366,30.0,9.9,8.2,19.3,68.9,18.5,20.6,32.8,14.3
oregon,klamath,366,30.3,10.2,9.0,19.0,69.5,17.2,23.3,38.4,14.2
oregon,lake,366,29.4,10.3,9.2,19.9,67.4,18.7,22.8,34.1,14.7
oregon,lane,287,29.3,9.2,7.0,18.9,68.6,17.0,18.9,32.5,14.1
oregon,linn,366,28.7,9.2,9.6,19.4,69.1,16.3,21.0,34.8,13.1
oregon,marion,229,31.5,11.1,11.7,18.2,68.0,16.6,24.2,39.4,15.1
oregon,multnomah,141,24.7,8.5,6.9,20.1,68.3,13.6,18.0,28.9,12.2
oregon,umatilla,244,30.8,10.8,11.8,20.1,70.0,17.0,24.5,37.8,14.5
oregon,union,365,28.6,9.5,8.3,19.6,68.6,16.8,20.9,35.6,13.5
oregon,wallowa,355,27.6,8.2,6.1,20.5,69.2,14.3,17.5,30.4,11.6
oregon,wasco,364,28.0,9.6,10.4,19.3,68.1,14.3,21.4,32.9,13.1
oregon,washington,181,25.4,8.8,6.3,19.7,67.7,9.6,16.6,29.6,9.9
pennsylvania,adams,137,29.5,8.8,7.7,19.9,76.4,17.3,23.3,37.3,12.4
pennsylvania,allegheny,201,27.6,9.4,7.0,21.2,76.3,15.4,21.0,32.0,12.1
pennsylvania,armstrong,140,28.7,9.3,7.7,20.8,74.6,21.1,25.9,37.9,13.8
pennsylvania,beaver,176,29.7,9.0,7.4,22.3,76.3,15.7,21.6,37.2,11.7
pennsylvania,berks,148,28.9,9.8,12.2,20.1,77.2,15.1,23.9,35.0,12.3
pennsylvania,blair,157,28.4,10.1,5.6,19.8,75.8,20.1,25.2,36.2,14.0
pennsylvania,bradford,157,31.7,9.3,7.1,20.2,76.5,17.1,22.3,34.9,12.8
pennsylvania,bucks,0,26.0,8.8,6.6,20.4,75.5,15.8,21.6,30.4,11.7
pennsylvania,cambria,191,29.4,9.7,8.0,20.1,76.4,19.5,26.4,37.1,13.6
pennsylvania,centre,95,27.8,9.2,7.9,20.8,76.9,18.1,23.2,34.7,12.5
pennsylvania,chester,145,25.0,7.9,6.0,20.5,75.2,11.1,17.7,29.5,9.3
pennsylvania,cumberland,358,26.7,8.8,7.0,20.7,76.8,14.6,20.8,33.0,11.1
pennsylvania,dauphin,215,30.5,10.6,7.6,18.4,77.6,17.7,25.3,34.3,13.1
pennsylvania,delaware,206,30.2,9.5,5.7,19.6,78.1,13.1,19.7,31.4,10.3
pennsylvania,elk,0,28.2,9.2,7.0,21.2,76.1,17.7,23.5,37.8,12.6
pennsylvania,erie,110,29.1,9.8,6.7,20.1,78.4,19.0,26.3,36.9,13.5
pennsylvania,fayette,109,31.3,10.3,10.6,19.5,77.7,21.4,25.6,34.8,14.5
pennsylvania,franklin,0,30.5,9.4,8.7,20.5,75.7,19.8,24.7,39.2,12.9
pennsylvania,greene,83,30.2,9.7,6.8,20.9,76.3,19.4,24.5,36.0,13.4
pennsylvania,indiana,168,30.5,9.6,7.7,20.5,77.4,18.4,23.0,40.1,12.9
pennsylvania,lackawanna,155,27.0,9.5,8.2,20.6,76.5,17.3,23.5,33.2,12.9
pennsylvania,lancaster,226,27.4,8.9,8.7,20.2,75.7,16.1,21.5,35.7,12.0
pennsylvania,lawrence,0,29.7,9.6,6.8,20.1,77.0,18.5,24.0,35.8,12.8
pennsylvania,lebanon,198,29.6,9.4,11.2,19.7,76.5,16.1,23.2,37.3,12.5
pennsylvania,lehigh,152,30.5,10.2,9.2,18.1,76.5,16.6,25.4,34.3,13.0
pennsylvania,lycoming,128,30.4,9.1,8.7,20.3,77.0,16.6,22.3,35.6,12.1
pennsylvania,mercer,110,29.4,9.2,7.7,19.6,77.0,18.7,22.4,35.7,13.2
pennsylvania,monroe,0,29.2,10.3,9.3,20.0,77.9,16.2,23.9,37.7,12.3
pennsylvania,montgomery,148,27.0,8.5,5.3,21.6,76.1,12.1,18.0,31.2,10.3
pennsylvania,northampton,170,27.9,9.2,9.6,21.7,75.4,15.4,22.4,33.7,11.7
pennsylvania,philadelphia,232,32.0,14.4,10.0,18.1,78.8,18.6,27.0,34.5,15.0
pennsylvania,somerset,0,30.5,9.3,6.7,19.7,75.5,19.7,25.6,36.6,13.3
pennsylvania,susquehanna,358,29.7,8.4,6.6,20.6,75.4,15.9,20.0,33.2,11.6
pennsylvania,tioga,107,29.8,9.6,5.9,20.9,76.3,19.1,25.6,38.8,13.6
